URI	Nom du Fichier	P102 has title	"P4 has time-span 
U8 foresees time span"	Similarité
				
				
MEME TIRE – DATE DIFFERENTE				
<http://data.doremus.org/performance/850618f8-2702-33f6-a43a-5c85c4c29c65>	1033088.ttl	Les Dissonances. David Grimal	2015-04-01T20:30	
				
<http://data.doremus.org/performance/e75ff38c-01b0-35cd-aca2-fec21ab11ac4>	14029.ttl	Les Dissonances - David Grimal	2014-10-21T20:00	Similarité :1.0
<http://data.doremus.org/performance/1386ad04-a768-3b93-af13-980357c76121>	1040876.ttl	Les Dissonances : David Grimal	2015-10-06T20:30	
				
<http://data.doremus.org/performance/e75ff38c-01b0-35cd-aca2-fec21ab11ac4>	14029.ttl	Les Dissonances - David Grimal	2014-10-21T20:00	Similarité :1.0
<http://data.doremus.org/performance/8ae7da6a-8728-39ac-bf83-13e2157c200c>	1030927.ttl	Les Dissonances, David Grimal	2015-02-09T20:30	
				
<http://data.doremus.org/performance/4d16d019-333c-3387-bb89-6a43b2e11e70>	14162.ttl	Orchestre de Paris - David Zinman - Gautier Capuçon	2014-11-20T20:00	Similarité :1.0
<http://data.doremus.org/performance/b17b841a-d844-3a07-8dd4-0123a4c18311>	1023837.ttl	Orchestre de Paris, David Zinman, Gautier Capuçon	2014-11-19T20:00	
				
<http://data.doremus.org/performance/5c8ee2cf-2e7b-3c02-8ac5-2c194d981e40>	14203.ttl	Orchestre Philharmonique de Radio France - Myung-Whun Chung - Renaud Capuçon	2018-03-22T17:09	Similarité :1.0
<http://data.doremus.org/performance/af563fd9-7ab4-3a4f-a47d-498f4ada8955>	1030324.ttl	Orchestre Philharmonique de Radio France, Myung-Whun Chung, Renaud Capuçon	2015-01-26T20:30	
				
<http://data.doremus.org/performance/fddc9150-266d-30cf-8895-ddf3281da72f>	14200.ttl	Orchestre de Paris / Paavo Järvi / Janine Jansen	2018-03-22T17:09	Similarité :1.0
<http://data.doremus.org/performance/7376159c-ce00-342e-afe3-a10bb0b5d176>	1030037.ttl	Orchestre de Paris, Paavo Järvi, Janine Jansen	2015-01-22T20:30	
				
<http://data.doremus.org/performance/3a5f5bd0-fc37-3d4a-8535-7b15d84f2383>	13222.ttl	Chamber Orchestra of Europe	2014-03-15T20:00	Similarité :1.0
<http://data.doremus.org/performance/eae12303-fb63-3a1a-bf55-6d9cc8aed1de>	0240336.ttl	Chamber orchestra of Europe	2018-03-29T21:50	
				
<http://data.doremus.org/performance/3a5f5bd0-fc37-3d4a-8535-7b15d84f2383>	13222.ttl	Chamber Orchestra of Europe	2014-03-15T20:00	Similarité :1.0
<http://data.doremus.org/performance/d9ea7639-de11-3fbd-a5e0-0487595c5cff>	0241240.ttl	Chamber orchestra of Europe	2018-03-29T21:47	
				
<http://data.doremus.org/performance/3a5f5bd0-fc37-3d4a-8535-7b15d84f2383>	13222.ttl	Chamber Orchestra of Europe	2014-03-15T20:00	Similarité :1.0
<http://data.doremus.org/performance/79332ad1-10e5-3d83-9da3-f34a0e5bc935>	0241078.ttl	Chamber orchestra of Europe	2018-03-29T21:46	
				
<http://data.doremus.org/performance/fcb203bf-096f-3195-bd62-fdac7e38f2ce>	13428.ttl	Orchestre de Paris - Daniel Harding 	2014-05-07T20:00	Similarité :1.0
<http://data.doremus.org/performance/a033d0c8-e35b-39cc-957d-9d39e00bc5e1>	1056843.ttl	Orchestre de Paris / Daniel Harding	2016-09-16T20:30	
				
<http://data.doremus.org/performance/fcb203bf-096f-3195-bd62-fdac7e38f2ce>	13428.ttl	Orchestre de Paris - Daniel Harding 	2014-05-07T20:00	Similarité :1.0
<http://data.doremus.org/performance/4c628753-51a9-3ff8-8974-be39fbd50bab>	1049486.ttl	Orchestre de Paris, Daniel Harding	2016-05-19T20:30	
				
<http://data.doremus.org/performance/fcb203bf-096f-3195-bd62-fdac7e38f2ce>	13428.ttl	Orchestre de Paris - Daniel Harding 	2014-05-07T20:00	Similarité :1.0
<http://data.doremus.org/performance/b0aea66d-0cc2-302e-9105-312f919f2e78>	1061651.ttl	Orchestre de Paris, Daniel Harding	2016-09-28T20:30	
				
<http://data.doremus.org/performance/fcb203bf-096f-3195-bd62-fdac7e38f2ce>	13428.ttl	Orchestre de Paris - Daniel Harding 	2014-05-07T20:00	Similarité :1.0
<http://data.doremus.org/performance/cd7aa126-a4f0-3dd2-ac5d-380c757da3da>	1067466.ttl	Orchestre de Paris. Daniel Harding	2017-05-24T20:30	
				
<http://data.doremus.org/performance/6bd310a1-84da-39fc-a38c-b2115532005a>	15169.ttl	London Symphony Orchestra	2015-10-16T20:30	Similarité :1.0
<http://data.doremus.org/performance/3d25a05c-b9be-3da5-b6bf-72db19b529e9>	0960360.ttl	London Symphony Orchestra	2011-03-28T20:00	
				
<http://data.doremus.org/performance/7e8fda8e-dd7d-3135-b12c-dc3e70f36cc5>	14198.ttl	Orchestre de Paris - Paavo Järvi	2015-01-18T16:30	Similarité :1.0
<http://data.doremus.org/performance/6b210a19-1224-3f20-9d28-3c6d7a1fa825>	0987827.ttl	Orchestre de Paris, Paavo Järvi	2018-03-29T21:46	
				
<http://data.doremus.org/performance/d43e16fc-366d-318a-bfeb-175c6af57e42>	15533.ttl	Hommage à Henri Dutilleux	2016-01-22T20:30	Similarité :1.0
<http://data.doremus.org/performance/1edeadf7-a092-3c53-80e7-836308a1b77c>	1045998.ttl	Hommage à Henri Dutilleux	2018-03-29T21:48	
				
<http://data.doremus.org/performance/f40d2aa4-692b-3c9d-935a-b8e3635cb446>	16996.ttl	Youssou Ndour et le Super étoile	2016-11-15T20:30	Similarité :1.0
<http://data.doremus.org/performance/de3b340f-aa23-3b15-b9df-39f116eca3a7>	0950960.ttl	Youssou Ndour et le Super Etoile	2010-10-28T20:00	
				
<http://data.doremus.org/performance/d6280cec-fd24-3db0-a1bc-782fa1db54a9>	15487.ttl	Orchestre Philharmonique de Radio France	2016-02-19T20:30	Similarité :1.0
<http://data.doremus.org/performance/15198688-34bd-373e-b4e0-7a359bba4e9b>	0956005.ttl	Orchestre Philharmonique de Radio France	2011-01-07T20:00	
				
<http://data.doremus.org/performance/2c49cbae-172e-3f9e-a3b0-496462ab0c6c>	15246.ttl	Khatia Buniatishvili	2018-03-22T17:09	Similarité :1.0
<http://data.doremus.org/performance/682f7138-8e22-3fab-9cf1-25e7dfb1cfc0>	1014782.ttl	Khatia Buniatishvili	2014-03-04T20:00	
				
<http://data.doremus.org/performance/8fa2f07d-df53-3009-bc60-ea12da533a39>	14193.ttl	Gala d’ouverture 1	2015-01-14T20:30	Similarité :1.0
<http://data.doremus.org/performance/1ad3e1f8-b67a-37e0-b3c2-3233dc9edcb1>	1029164.ttl	Gala d'ouverture 1	2018-03-29T21:50	
				
<http://data.doremus.org/performance/26c634a1-7230-3613-8cad-6137b56d1b9c>	15192.ttl	Ensemble intercontemporain	2018-03-22T17:09	Similarité :1.0
<http://data.doremus.org/performance/ac5b81bb-f334-369b-a966-4c60aba3f347>	0240344.ttl	Ensemble intercontemporain	2018-03-29T21:48	
				
<http://data.doremus.org/performance/26c634a1-7230-3613-8cad-6137b56d1b9c>	15192.ttl	Ensemble intercontemporain	2018-03-22T17:09	Similarité :1.0
<http://data.doremus.org/performance/c51b7528-4f37-367e-8f9d-5b8a3a7bd7b1>	0241449.ttl	Ensemble intercontemporain	2015-06-28T16:30	
				
<http://data.doremus.org/performance/429a3a13-be81-37d3-9ea3-aa4b0fb2834e>	15225.ttl	Maurizio Pollini	2016-02-08T20:30	Similarité :1.0
<http://data.doremus.org/performance/21a2603d-10a5-3ed8-86b9-09fdbe6d0955>	0947333.ttl	Maurizio Pollini	2018-03-29T21:44	
				
