URI	Nom du Fichier	P102 has title	P4 has time-span U8 foresees time span	Similarité
<http://data.doremus.org/performance/191db78e-9a5f-3224-8226-28e047f4de22>	1029402.ttl	Week-end Portes ouvertes. Ouvrez !	2015-01-17T18:30	
				
<http://data.doremus.org/performance/8ed2ae60-2d2d-3e48-b648-063ded1587c2>	14567.ttl	Har Mar Superstar	2014-09-09T20:00	Similarité :0.34249999999999997
<http://data.doremus.org/performance/750d1152-1c68-30a4-b329-e6d874abc57c>	1021565.ttl	Jazz à la Villette. Joshua Redman and the Bad Plus	2014-09-09T20:00	
				
<http://data.doremus.org/performance/a04b7452-6c21-386d-8564-fae49266aacb>	14225.ttl	Daniel Barenboim	2015-05-18T20:30	Similarité :0.3715
<http://data.doremus.org/performance/5a36546b-4039-353f-ac86-b5130a919bb4>	1033415.ttl	Madrigaux amoureux. Paul Agnew, Les Arts Florissants	2015-05-18T20:30	
				
<http://data.doremus.org/performance/a04b7452-6c21-386d-8564-fae49266aacb>	14225.ttl	Daniel Barenboim	2015-05-18T20:30	Similarité :0.36150000000000004
<http://data.doremus.org/performance/46f41c60-5f40-3080-b4bf-97f27b4d79e4>	0885985.ttl	Via Zanzibar, la route orientale de l'esclavage. L'afrique islamisée, Kenya	2015-05-18T20:30	
				
<http://data.doremus.org/performance/c2409023-96fd-37d8-ace3-20ae1b15ec27>	14568.ttl	Marc Ribot Y Los Cubanos Postizos / Roberto Fonseca Solo	2014-09-10T20:00	Similarité :0.565
<http://data.doremus.org/performance/a25b7461-1640-3cdf-94f0-0458d356b8a2>	1021066.ttl	Jazz à la Villette. Roberto Fonseca solo	2014-09-10T20:00	
				
<http://data.doremus.org/performance/9d38fa76-d045-3be4-b4cf-3aa82feb71f1>	14466.ttl	Leçon de musique	2015-03-25T20:30	Similarité :0.5635
<http://data.doremus.org/performance/9f4ac172-c34e-3a2a-a294-e7045b77367b>	1032055.ttl	Une leçon de musique par William Christie, la rhétorique de la passion	2015-03-25T20:30	
				
<http://data.doremus.org/performance/9d38fa76-d045-3be4-b4cf-3aa82feb71f1>	14466.ttl	Leçon de musique	2015-03-25T20:30	Similarité :0.3165
<http://data.doremus.org/performance/a3d40768-3473-3ea1-909e-fc86f046b3b4>	0933256.ttl	Tchaïkovski, intégrale des symphonies. Symphonie n°1 et n°4	2015-03-25T20:30	
				
<http://data.doremus.org/performance/b246f03a-e689-3f93-89a1-5c6173c37844>	15941.ttl	Jeux de guerre, jeux de vilain	2016-04-13T14:30	Similarité :0.47950000000000004
<http://data.doremus.org/performance/56139b05-eaf1-367a-9319-ebd29ffd2800>	1063945.ttl	Concert participatif en famille. Jeux de guerre, jeux de vilain	2016-04-13T14:30	
				
<http://data.doremus.org/performance/8a91db9e-7ea8-33e0-971b-1980e137e8fd>	14117.ttl	Madrigaux amoureux	2015-05-18T20:30	Similarité :0.6495
<http://data.doremus.org/performance/5a36546b-4039-353f-ac86-b5130a919bb4>	1033415.ttl	Madrigaux amoureux. Paul Agnew, Les Arts Florissants	2015-05-18T20:30	
				
<http://data.doremus.org/performance/8a91db9e-7ea8-33e0-971b-1980e137e8fd>	14117.ttl	Madrigaux amoureux	2015-05-18T20:30	Similarité :0.322
<http://data.doremus.org/performance/46f41c60-5f40-3080-b4bf-97f27b4d79e4>	0885985.ttl	Via Zanzibar, la route orientale de l'esclavage. L'afrique islamisée, Kenya	2015-05-18T20:30	
				
<http://data.doremus.org/performance/7066ccf3-2f6a-3a2d-9920-3c1bef10edf3>	13196.ttl	Femi Kuti	2014-04-17T20:00	Similarité :0.316
<http://data.doremus.org/performance/aa7a6fd8-73d5-3c0c-a9b0-19861fda93f1>	1016891.ttl	African Remix. Lagos (Nigéria), Yisa Mirinda	2014-04-17T20:00	
				
<http://data.doremus.org/performance/7066ccf3-2f6a-3a2d-9920-3c1bef10edf3>	13196.ttl	Femi Kuti	2014-04-17T20:00	Similarité :0.3225
<http://data.doremus.org/performance/d8630341-ada9-352f-b77c-79c1ff5c78b1>	1017227.ttl	African Remix. Lagos (Nigéria). Femi Kuti & Positive Force	2014-04-17T20:00	
				
<http://data.doremus.org/performance/db852376-9536-358d-9d50-a6b1fd845535>	14265.ttl	Passion selon saint Jean	2015-04-04T20:30	Similarité :0.3835
<http://data.doremus.org/performance/6e0bac3d-f88a-3b03-bcd8-3a047b2b5082>	1032066.ttl	Week-end Bach. Passion selon saint Jean. Akademie für alte Musik Berlin, Rias Kammerchor, René Jacobs	2015-04-04T20:30	
				
<http://data.doremus.org/performance/786f10d1-1920-36c0-82d5-4f35db62bc9e>	15247.ttl	Beethoven Héroïque	2016-03-08T20:30	Similarité :0.6125
<http://data.doremus.org/performance/98effd47-d283-32c4-8d38-9ed89ba3f27b>	1047693.ttl	Beethoven Héroïque, Insula Orchestra, Laurence Equilbey	2016-03-08T20:30	
				
<http://data.doremus.org/performance/a0cf62f9-d95a-35de-9cdc-65a2879aff3c>	13210.ttl	Etienne Daho joue son nouvel album	2014-02-18T20:00	Similarité :0.344
<http://data.doremus.org/performance/1c7cf567-b60f-3136-948c-cd379f03a0d1>	1014020.ttl	Orchestre du Théâtre Mariinsky, Valery Gergiev, Vadim Repin	2014-02-18T20:00	
				
<http://data.doremus.org/performance/96148b0a-698f-3369-a2ce-e5d932125d06>	14123.ttl	Human Requiem	2015-06-11T20:30	Similarité :0.3045
<http://data.doremus.org/performance/1ae332a0-f9cf-3bed-8b6f-2ae10e40243b>	1035806.ttl	Répons de Pierre Boulez, Ensemble intercontemporain, Matthias Pintscher	2015-06-11T20:30	
				
